task,data_id,et_cm,er_deg,ej_cm,eft_cm,n_frames,success
O36001-0001-0002,0,14.6407,89.6745,8.0752,8.2582,75,0
O36002-0001-0000,0,7.1045,40.0180,6.2547,6.4997,41,0
O36002-0001-0002,0,9.3597,32.7345,4.8652,4.8252,76,0
O50001-0001-0000,0,10.9334,3.6502,4.9156,4.8016,78,0
O50001-0001-0002,0,6.3062,2.4456,6.0690,6.0591,91,0
O50002-0001-0001,0,2.4678,6.3630,4.8321,4.6285,68,1
O50002-0001-0002,0,6.1521,3.7460,4.5460,4.1197,51,0
O93001-0001-0000,0,21.3469,48.0171,6.0159,6.1664,40,0
O93001-0001-0001,0,3.6160,8.5261,4.0919,4.2091,31,0
O93001-0001-0002,0,15.1012,20.2884,2.1931,1.9304,78,0
S10001-0001-0000,0,6.5787,3.5788,4.9855,4.8568,48,0
S10001-0001-0001,0,10.0057,24.2444,5.1903,5.2499,81,0
S10001-0001-0002,0,4.2050,25.8777,3.5596,3.5529,69,0
S10002-0001-0000,0,9.6764,5.0265,3.9368,3.8586,58,0
S10002-0001-0001,0,6.2710,4.8628,6.7484,6.5700,46,0
S10002-0001-0002,0,1.2072,4.9065,3.1273,3.2731,75,1
S10003-0001-0001,0,2.0145,4.1649,2.5756,2.4549,58,1
S10003-0001-0002,0,4.1588,4.6969,4.6696,4.6854,81,0
S10003-0001-0003,0,7.8668,5.5445,4.6620,4.2930,61,0
S10004-0001-0001,0,7.6551,7.0824,2.8615,2.8695,48,0
S10004-0001-0002,0,1.7520,7.0637,3.5013,3.3041,81,1
S10004-0001-0003,0,8.1382,20.5436,5.0309,4.7404,51,0
S10005-0001-0001,0,3.1968,7.3428,3.5995,3.6602,75,0
S10005-0001-0002,0,7.3703,17.3603,4.4029,4.2350,120,0
S10005-0001-0003,0,6.2459,7.9241,4.2180,3.9474,31,0
S10006-0001-0001,0,8.1152,17.4121,3.4021,3.3413,51,0
S10006-0001-0002,0,1.1426,2.6439,2.7553,2.5885,61,1
S10006-0001-0003,0,1.6451,8.7774,4.8295,4.5992,40,1
S10007-0001-0001,0,9.7791,27.9153,3.1426,2.9937,61,0
S10007-0001-0002,0,1.0912,2.5093,2.8536,2.7210,79,1
S10007-0001-0003,0,6.2684,9.7274,5.9994,5.8281,46,0
S10008-0001-0001,0,5.7290,18.1664,2.9492,2.9787,57,0
S10008-0001-0002,0,1.4365,4.1270,2.6685,2.4709,51,1
S10008-0001-0003,0,6.0129,6.9608,4.3619,4.0156,41,0
S10009-0001-0001,0,8.7985,27.2652,3.7454,3.8220,68,0
S10009-0001-0002,0,4.1607,4.9209,5.7469,5.6097,76,0
S10009-0001-0003,0,4.3219,2.0378,3.8192,3.6953,39,0
S10010-0001-0001,0,6.3526,73.5133,4.2225,4.3914,57,0
S10010-0001-0002,0,10.5132,28.3706,4.6632,4.6033,85,0
S10010-0001-0003,0,6.2211,8.2792,4.5644,4.1709,35,0
S10011-0001-0000,0,5.0397,13.0824,4.3687,4.1496,51,0
S10011-0001-0001,0,5.4314,22.5319,3.3850,3.2068,55,0
S10011-0001-0002,0,6.7242,18.7112,6.2367,6.0860,91,0
S10011-0001-0003,0,9.0903,36.2655,4.7437,4.8456,51,0
S10012-0001-0001,0,1.7111,6.1503,4.6336,4.9538,60,1
S10012-0001-0002,0,9.7546,8.0522,5.0460,5.0182,86,0
S10012-0001-0003,0,4.3838,5.8410,4.5415,4.5578,45,0
S10013-0001-0001,0,4.7862,10.5285,3.7687,3.5689,40,0
